companyname companyname firstname_lastname
PG*E_Corp. McKesson_HBOC Carl_E._Reichardt
Intel McKesson_HBOC Jane_E._Shaw
Caterpillar Kmart Lilyan_H._Affinito
Dow_Chemical Kmart Willie_D._Davis
Sara_Lee Kmart Willie_D._Davis
International_Paper Kmart Robert_D._Kennedy
Texaco Kmart Robin_B._Smith
BellSouth Kmart Robin_B._Smith
PepsiCo Target Roger_A._Enrico
Goldman_Sachs_Group Target James_A._Johnson
UnitedHealth_Group Target James_A._Johnson
Wells_Fargo Target Richard_M._Kovacevich
Bank_of_America_Corp. Target Solomon_D._Trujillo
PepsiCo Target Solomon_D._Trujillo
The_Boeing_Company Albertsons John_B._Fery
Procter_and_Gamble USX Charles_R._Lee
Verizon_Communications USX John_W._Snow
Lockheed_Martin USX Douglas_C._Yearley
Coca-Cola Berkshire_Hathaway Warren_E._Buffett
Costco_Wholesale Berkshire_Hathaway Charles_T._Munger
Goldman_Sachs_Group Intel John_P._Browne
McKesson_HBOC Intel David_S._Pottruck
McKesson_HBOC Intel Jane_E._Shaw
Ford_Motor Goldman_Sachs_Group John_L._Thornton
Intel Goldman_Sachs_Group John_P._Browne
General_Motors Goldman_Sachs_Group John_H._Bryan
Bank_One_Corp. Goldman_Sachs_Group John_H._Bryan
Target Goldman_Sachs_Group James_A._Johnson
UnitedHealth_Group Goldman_Sachs_Group James_A._Johnson
MetLife Goldman_Sachs_Group Ruth_J._Simmons,_Ph.D.
Pfizer Goldman_Sachs_Group Ruth_J._Simmons,_Ph.D.
Pfizer J.C._Penney M._Anthony_Burns
Ingram_Micro J.C._Penney Kent_B._Foster
New_York_Life_Insurance J.C._Penney Kent_B._Foster
American_Express J.C._Penney Vernon_E._Jordan,_Jr.
Sara_Lee J.C._Penney Vernon_E._Jordan,_Jr.
International_Paper J.C._Penney Jane_C._Pfeiffer
The_Boeing_Company Conoco Kenneth_M._Duberstein
Fannie_Mae Conoco Kenneth_M._Duberstein
E.I._du_Pont_de_Nemours Conoco William_K._Reilly
Citigroup Conoco Franklin_A._Thomas
Lucent_Technologies Conoco Franklin_A._Thomas
Alcoa Conoco Franklin_A._Thomas
PepsiCo Conoco Franklin_A._Thomas
Berkshire_Hathaway Costco_Wholesale Charles_T._Munger
Caterpillar Safeway Peter_A._Magowan
Dow_Chemical MetLife John_C._Danforth
Exxon-Mobil MetLife James_R._Houghton
Pfizer MetLife Harry_P._Kamen
Exxon-Mobil MetLife Helene_L._Kaplan
Verizon_Communications MetLife Helene_L._Kaplan
J.P._Morgan_Chase MetLife Helene_L._Kaplan
Merrill_Lynch MetLife John_J._Phelan,_Jr.
Verizon_Communications MetLife Hugh_B._Price
Sears_Roebuck MetLife Hugh_B._Price
Goldman_Sachs_Group MetLife Ruth_J._Simmons,_Ph.D.
Pfizer MetLife Ruth_J._Simmons,_Ph.D.
Texaco MetLife William_C._Steere,_Jr.
Sears_Roebuck Dell_Computer Donald_J._Carty
AMR Dell_Computer Donald_J._Carty
J.P._Morgan_Chase Dell_Computer William_H._Gray_III
Prudential_Ins._Co._of_America Dell_Computer William_H._Gray_III
Aetna Dell_Computer Michael_H._Jordan
Motorola Dell_Computer Judy_C._Lewent
Morgan_Stanley_Dean_Witter Dell_Computer Michael_A._Miles
Sears_Roebuck Dell_Computer Michael_A._Miles
Allstate Dell_Computer Michael_A._Miles
AMR Dell_Computer Michael_A._Miles
General_Electric Dell_Computer Sam_Nunn
Texaco Dell_Computer Sam_Nunn
Coca-Cola Dell_Computer Sam_Nunn
Allstate Dell_Computer Mary_A._Taylor
J.C._Penney Ingram_Micro Kent_B._Foster
New_York_Life_Insurance Ingram_Micro Kent_B._Foster
El_Paso_Corp. Ingram_Micro Joe_B._Wyatt
Lehman_Brothers_Holdings Freddie_Mac Henry_Kaufman
SBC_Communications Freddie_Mac John_B._McCoy
Cardinal_Health Freddie_Mac John_B._McCoy
Verizon_Communications Freddie_Mac Russell_E._Palmer
Honeywell_International Freddie_Mac Russell_E._Palmer
Bank_One_Corp. Cardinal_Health Robert_D._Walter
SBC_Communications Cardinal_Health John_B._McCoy
Freddie_Mac Cardinal_Health John_B._McCoy
BellSouth United_Parcel_Service James_P._Kelly
Georgia-Pacific United_Parcel_Service James_P._Kelly
J.C._Penney Pfizer M._Anthony_Burns
CVS Pfizer W._Don_Cornwell
Merrill_Lynch Pfizer George_B._Harvey
Prudential_Ins._Co._of_America Pfizer Constance_J._Horner
TIAA-CREF Pfizer Stanley_O._Ikenberry,_Ph.D.
Utilicorp Pfizer Stanley_O._Ikenberry,_Ph.D.
MetLife Pfizer Harry_P._Kamen
Delphi_Automotive_Systems Pfizer Thomas_G._Labrecque
Fannie_Mae Pfizer Franklin_D._Raines
PepsiCo Pfizer Franklin_D._Raines
Goldman_Sachs_Group Pfizer Ruth_J._Simmons,_Ph.D.
MetLife Pfizer Ruth_J._Simmons,_Ph.D.
Compaq_Computer Dynegy Michael_D._Capellas
Chevron Dynegy Richard_H._Matzke
Sara_Lee Dynegy C._Steven_McMillan
Allstate Dynegy H._John_Riley,_Jr.
CVS Dynegy Sheli_Z._Rosenberg
Citigroup E.I._du_Pont_de_Nemours Alain_J.P._Belda
Alcoa E.I._du_Pont_de_Nemours Alain_J.P._Belda
Conoco E.I._du_Pont_de_Nemours William_K._Reilly
Intl._Business_Machines E.I._du_Pont_de_Nemours Charles_M._Vest
Pfizer Delphi_Automotive_Systems Thomas_G._Labrecque
General_Electric Delphi_Automotive_Systems Roger_S._Penske
Kroger_Company Allstate Edward_M._Liddy
BellSouth Allstate F._Duane_Ackerman
Sears_Roebuck Allstate Warren_L._Batts
Sprint Allstate Warren_L._Batts
Morgan_Stanley_Dean_Witter Allstate Edward_A._Brennan
AMR Allstate Edward_A._Brennan
Sears_Roebuck Allstate W._James_Farrell
Sprint Allstate Ronald_T._LeMay
Morgan_Stanley_Dean_Witter Allstate Michael_A._Miles
Sears_Roebuck Allstate Michael_A._Miles
Dell_Computer Allstate Michael_A._Miles
AMR Allstate Michael_A._Miles
Dynegy Allstate H._John_Riley,_Jr.
Dell_Computer Allstate Mary_A._Taylor
Ford_Motor Utilicorp Irvine_O._Hockaday,_Jr.
Sprint Utilicorp Irvine_O._Hockaday,_Jr.
TIAA-CREF Utilicorp Stanley_O._Ikenberry,_Ph.D.
Pfizer Utilicorp Stanley_O._Ikenberry,_Ph.D.
Caterpillar International_Paper John_T._Dillon
Texaco International_Paper Robert_J._Eaton
SBC_Communications International_Paper James_A._Henderson
Kmart International_Paper Robert_D._Kennedy
AT*T International_Paper Donald_F._McHenry
FleetBoston_Financial International_Paper Donald_F._McHenry
Coca-Cola International_Paper Donald_F._McHenry
J.C._Penney International_Paper Jane_C._Pfeiffer
Texaco International_Paper Charles_R._Shoemate
Target Wells_Fargo Richard_M._Kovacevich
Supervalu Wells_Fargo Susan_E._Engel
Exxon-Mobil Wells_Fargo Reatha_Clark_King
Chevron Wells_Fargo Chang-Lin_Tien
Honeywell_International Wells_Fargo Michael_W._Wright
Supervalu Wells_Fargo Michael_W._Wright
FleetBoston_Financial Aetna John_W._Rowe
Dow_Chemical Aetna Barbara_H._Franklin
AMR Aetna Earl_G._Graves
Dell_Computer Aetna Michael_H._Jordan
AMR Aetna Judith_Rodin
PepsiCo Lehman_Brothers_Holdings John_F._Akers
Freddie_Mac Lehman_Brothers_Holdings Henry_Kaufman
Kroger_Company BellSouth Reuben_V._Anderson
Bank_of_America_Corp. BellSouth Kathleen_F._Feldstein,_Ph.D.
United_Parcel_Service BellSouth James_P._Kelly
Georgia-Pacific BellSouth James_P._Kelly
Lockheed_Martin BellSouth Eugene_F._Murphy
Texaco BellSouth Robin_B._Smith
Kmart BellSouth Robin_B._Smith
Dow_Chemical BellSouth William_S._Stavropoulos
Allstate BellSouth F._Duane_Ackerman
Ford_Motor ConAgra Carl_E._Reichardt
McKesson_HBOC ConAgra Carl_E._Reichardt
PG*E_Corp. ConAgra Carl_E._Reichardt
Caterpillar ConAgra Clayton_K._Yeutter
Bristol-Myers_Squibb Lockheed_Martin Vance_D._Coffman
Procter_and_Gamble Lockheed_Martin Norman_R._Augustine
Phillips_Petroleum Lockheed_Martin Norman_R._Augustine
El_Paso_Corp. Lockheed_Martin James_F._Gibbons,_Ph.D.
BellSouth Lockheed_Martin Eugene_F._Murphy
Enron Lockheed_Martin Frank_Savage
USX Lockheed_Martin Douglas_C._Yearley
General_Motors Bank_One_Corp. John_H._Bryan
Goldman_Sachs_Group Bank_One_Corp. John_H._Bryan
Sara_Lee Bank_One_Corp. James_S._Crown
Merck Bank_One_Corp. Heidi_Miller,_Ph.D.
Cardinal_Health Bank_One_Corp. Robert_D._Walter
J.P._Morgan_Chase Honeywell_International Hans_W._Becherer
General_Electric Honeywell_International Ann_M._Fudge
Walgreen Honeywell_International James_J._Howard
Kroger_Company Honeywell_International Bruce_Karatz
Merrill_Lynch Honeywell_International Robert_P._Luciano
Verizon_Communications Honeywell_International Russell_E._Palmer
Freddie_Mac Honeywell_International Russell_E._Palmer
CVS Honeywell_International Ivan_G._Seidenberg
General_Electric Honeywell_International Andrew_C._Sigler
Verizon_Communications Honeywell_International John_R._Stafford
J.P._Morgan_Chase Honeywell_International John_R._Stafford
Wells_Fargo Honeywell_International Michael_W._Wright
Supervalu Honeywell_International Michael_W._Wright
Phillips_Petroleum Tosco Thomas_D._O'Malley
Duke_Energy First_Union_Corp. G._Alex_Bernhardt,_Sr.
Merck First_Union_Corp. Erskine_B._Bowles
Duke_Energy First_Union_Corp. Robert_J._Brown
AutoNation First_Union_Corp. Robert_J._Brown
Verizon_Communications First_Union_Corp. Joseph_Neubauer
Intl._Business_Machines American_Express Kenneth_I._Chenault
Merck American_Express William_G._Bowen
TIAA-CREF American_Express William_G._Bowen
J.C._Penney American_Express Vernon_E._Jordan,_Jr.
Sara_Lee American_Express Vernon_E._Jordan,_Jr.
Exxon-Mobil Sprint William_T._Esrey
Duke_Energy Sprint William_T._Esrey
Allstate Sprint Ronald_T._LeMay
Sears_Roebuck Sprint Warren_L._Batts
Allstate Sprint Warren_L._Batts
Ford_Motor Sprint Irvine_O._Hockaday,_Jr.
Utilicorp Sprint Irvine_O._Hockaday,_Jr.
Citigroup Alcoa Alain_J.P._Belda
E.I._du_Pont_de_Nemours Alcoa Alain_J.P._Belda
Procter_and_Gamble Alcoa Joesph_T._Gorman
Lucent_Technologies Alcoa Henry_B._Schacht
Citigroup Alcoa Franklin_A._Thomas
Lucent_Technologies Alcoa Franklin_A._Thomas
Conoco Alcoa Franklin_A._Thomas
PepsiCo Alcoa Franklin_A._Thomas
J.P._Morgan_Chase Alcoa Marina_V._Whitman
Procter_and_Gamble Alcoa Marina_V._Whitman
BellSouth Dow_Chemical William_S._Stavropoulos
MetLife Dow_Chemical John_C._Danforth
Kmart Dow_Chemical Willie_D._Davis
Sara_Lee Dow_Chemical Willie_D._Davis
Aetna Dow_Chemical Barbara_H._Franklin
Prudential_Ins._Co._of_America Dow_Chemical Allan_D._Gilmour
Merck Microsoft Raymond_V._Gilmartin
Citigroup Microsoft Kenneth_J._Bialkin
Dow_Chemical Prudential_Ins._Co._of_America Allan_D._Gilmour
J.P._Morgan_Chase Prudential_Ins._Co._of_America William_H._Gray_III
Dell_Computer Prudential_Ins._Co._of_America William_H._Gray_III
Pfizer Prudential_Ins._Co._of_America Constance_J._Horner
TIAA-CREF Prudential_Ins._Co._of_America Paul_A._Volcker
CVS FleetBoston_Financial Terrence_Murray
CVS FleetBoston_Financial Marian_L._Heard
AT*T FleetBoston_Financial Donald_F._McHenry
International_Paper FleetBoston_Financial Donald_F._McHenry
Coca-Cola FleetBoston_Financial Donald_F._McHenry
Aetna FleetBoston_Financial John_W._Rowe
CVS FleetBoston_Financial Thomas_M._Ryan
Home_Depot PG*E_Corp. William_S._Davila
SBC_Communications PG*E_Corp. Mary_S._Metz
Ford_Motor PG*E_Corp. Carl_E._Reichardt
McKesson_HBOC PG*E_Corp. Carl_E._Reichardt
ConAgra PG*E_Corp. Carl_E._Reichardt
Duke_Energy AutoNation Robert_J._Brown
First_Union_Corp. AutoNation Robert_J._Brown
Duke_Energy AutoNation George_D._Johnson,_Jr.
Philip_Morris Georgia-Pacific Jane_Evans
Exxon-Mobil Georgia-Pacific Donald_V._Fites
AT*T Georgia-Pacific Donald_V._Fites
Caterpillar Georgia-Pacific Donald_V._Fites
Caterpillar Georgia-Pacific David_R._Goode
United_Parcel_Service Georgia-Pacific James_P._Kelly
BellSouth Georgia-Pacific James_P._Kelly
Bristol-Myers_Squibb Georgia-Pacific Louis_W._Sullivan
AT*T Georgia-Pacific John_D._Zeglis
Sara_Lee Georgia-Pacific John_D._Zeglis
Lockheed_Martin El_Paso_Corp. James_F._Gibbons,_Ph.D.
Ingram_Micro El_Paso_Corp. Joe_B._Wyatt
J.C._Penney New_York_Life_Insurance Kent_B._Foster
Ingram_Micro New_York_Life_Insurance Kent_B._Foster
Exxon-Mobil Bristol-Myers_Squibb Charles_A._Heimbold_Jr.
PepsiCo Bristol-Myers_Squibb Robert_E._Allen
